3,11076206,-17.51,0,0,0,0,0,0,0,0,0,0,0,0
3,124324,-17.51,0,0,0,0,0,0,0,0,0,0,0,0
3,11155593,-17.51,0,0,0,0,0,0,0,0,0,0,0,0
3,10916399,-17.51,0,0,0,0,0,0,0,0,0,0,0,0
3,6680367,-17.51,0,0,0,0,0,0,0,0,0,0,0,0
3,528834,-17.51,0,0,0,0,0,0,0,0,0,0,0,0
3,3540589,-17.51,0,0,0,0,0,0,0,0,0,0,0,0
3,8051750,-17.51,0,0,0,0,0,0,0,0,0,0,0,0
3,2099013,-17.51,0,0,0,0,0,0,0,0,0,0,0,0
3,8618050,-17.5,0,0,0,0,0,0,0,0,0,0,0,0
3,834580,-17.51,0,0,0,0,0,0,0,0,0,0,0,0
3,2706481,-17.51,0,0,0,0,0,0,0,0,0,0,0,0
3,136300,-17.51,0,0,0,0,0,0,0,0,0,0,0,0
3,11089528,-4.35,0.2,0,0,7,57,92,0,0,0,0.4,6,10
3,10423163,-17.51,0,0,0,0,0,0,0,0,0,0,0,0
3,6247631,-17.51,0,0,0,0,0,0,0,0,0,0,0,0
3,3928141,-17.51,0,0,0,0,0,0,0,0,0,0,0,0
3,10952019,-2.32,11,3,0,12,97,92,1.7,1,0,0.7,10,10
3,10522934,-17.51,0,0,0,0,0,0,0,0,0,0,0,0
3,10877929,-17.51,0,0,0,0,0,0,0,0,0,0,0,0
3,7711835,-17.51,0,0,0,0,0,0,0,0,0,0,0,0
3,7422677,-17.51,0,0,0,0,0,0,0,0,0,0,0,0
3,6047194,-17.51,0,0,0,0,0,0,0,0,0,0,0,0
3,9932071,-17.51,0,0,0,0,0,0,0,0,0,0,0,0
3,9693172,-17.51,0,0,0,0,0,0,0,0,0,0,0,0
3,1293505,-17.51,0,0,0,0,0,0,0,0,0,0,0,0
3,175904,-17.51,0,0,0,0,0,0,0,0,0,0,0,0
3,6258300,-17.51,0,0,0,0,0,0,0,0,0,0,0,0
3,5277628,-17.47,0.3,0,0,0,0,0,0,0,0,0,0,0
3,2377516,-17.51,0,0,0,0,0,0,0,0,0,0,0,0
3,2455597,-17.51,0,0,0,0,0,0,0,0,0,0,0,0
3,82620,-10.5,0.2,0,0,0,66,0,0,0,0,0,6.9,0
3,10701682,-17.51,0,0,0,0,0,0,0,0,0,0,0,0
3,4091618,-17.51,0,0,0,0,0,0,0,0,0,0,0,0
3,2910195,-17.51,0,0,0,0,0,0,0,0,0,0,0,0
3,304393,-17.51,0,0,0,0,0,0,0,0,0,0,0,0
3,10308180,-17.51,0,0,0,0,0,0,0,0,0,0,0,0
3,10612953,-17.51,0,0,0,0,0,0,0,0,0,0,0,0
3,2262209,-2.79,6.4,1,0,13,95,93,1,0.3,0,0.7,10,10
3,10978616,-1.7,3.4,2,1,79,74,92,0.5,0.7,0.1,4.5,7.8,10
3,10678793,-2.73,1.5,4,0,25,71,90,0.2,1.3,0,1.4,7.5,10
3,9639652,-17.51,0,0,0,0,0,0,0,0,0,0,0,0
3,616232,-17.51,0,0,0,0,0,0,0,0,0,0,0,0
3,595651,-17.51,0,0,0,0,0,0,0,0,0,0,0,0
3,10172265,-3.55,0.1,0,0,10,79,90,0,0,0,0.6,8.3,10
3,4343836,-17.51,0,0,0,0,0,0,0,0,0,0,0,0
3,10473400,-17.51,0,0,0,0,0,0,0,0,0,0,0,0
3,10334430,-17.51,0,0,0,0,0,0,0,0,0,0,0,0
3,11064202,-12.68,0.1,0,1,0,38,0,0,0,0.1,0,4,0
3,6879842,-17.51,0,0,0,0,0,0,0,0,0,0,0,0
3,906722,-17.51,0,0,0,0,0,0,0,0,0,0,0,0
3,1850122,-10.09,0,0,0,0,100,0,0,0,0,0,10,0
3,8907229,-17.51,0,0,0,0,0,0,0,0,0,0,0,0
3,4030650,-17.51,0,0,0,0,0,0,0,0,0,0,0,0
3,466050,-17.11,0.1,1,0,0,0,0,0,0.3,0,0,0,0
3,4042638,-17.51,0,0,0,0,0,0,0,0,0,0,0,0
3,9550614,-17.51,0,0,0,0,0,0,0,0,0,0,0,0
3,4397654,-12.87,0,0,0,0,37,0,0,0,0,0,3.9,0
3,8597474,-17.51,0,0,0,0,0,0,0,0,0,0,0,0
3,11154293,-17.51,0,0,0,0,0,0,0,0,0,0,0,0
3,9529197,-17.51,0,0,0,0,0,0,0,0,0,0,0,0
3,2707779,-17.51,0,0,0,0,0,0,0,0,0,0,0,0
3,11142244,-3.9,0.9,2,0,29,45,92,0.1,0.7,0,1.7,4.7,10
3,10308166,-1.27,2.6,0,0,233,85,93,0.4,0,0,10,8.9,10
3,10574159,-4.93,0.3,2,0,13,35,91,0.1,0.7,0,0.7,3.7,10
3,7433303,-17.51,0,0,0,0,0,0,0,0,0,0,0,0
3,5835564,-17.51,0,0,0,0,0,0,0,0,0,0,0,0
3,8442912,-16.39,0.2,3,0,0,0,0,0,1,0,0,0,0
3,10612931,-17.51,0,0,0,0,0,0,0,0,0,0,0,0
3,425515,-17.51,0,0,0,0,0,0,0,0,0,0,0,0
3,2960412,-3,1.5,2,0,17,79,90,0.2,0.7,0,1,8.3,10
3,10562185,-17.51,0,0,0,0,0,0,0,0,0,0,0,0
3,11180598,-13.58,0.2,1,0,0,27,0,0,0.3,0,0,2.8,0
3,6107371,-17.51,0,0,0,0,0,0,0,0,0,0,0,0
3,2225204,-17.51,0,0,0,0,0,0,0,0,0,0,0,0
3,10233714,-17.51,0,0,0,0,0,0,0,0,0,0,0,0
3,201012,-17.51,0,0,0,0,0,0,0,0,0,0,0,0
